EVALUACIÓN SOBRE CARPETA (modelo M + cascada 9-12)
==================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED

[   1/ 294] 09_000_10_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | ORI=000/10 (s=0.990 g=0.230) | OK
[ 163/ 294] 12_000_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/10 (s=0.977 g=0.194) | OK
[ 164/ 294] 12_000_10_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/10 (s=0.978 g=0.204) | OK
[ 165/ 294] 12_000_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/10 (s=0.970 g=0.216) | OK
[ 166/ 294] 12_000_10_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/10 (s=0.978 g=0.200) | OK
[ 167/ 294] 12_000_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/40 (s=0.981 g=0.140) | OK
[ 168/ 294] 12_000_40_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/40 (s=0.993 g=0.142) | OK
[ 169/ 294] 12_000_40_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/40 (s=0.987 g=0.146) | OK
[ 170/ 294] 12_000_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/40 (s=0.984 g=0.142) | OK
[ 171/ 294] 12_000_40_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/40 (s=0.987 g=0.138) | OK
[ 172/ 294] 12_000_40_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/40 (s=0.920 g=0.085) | OK
[ 173/ 294] 12_000_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/70 (s=0.991 g=0.143) | OK
[ 174/ 294] 12_000_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/70 (s=0.983 g=0.124) | OK
[ 175/ 294] 12_000_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/70 (s=0.951 g=0.100) | OK
[ 176/ 294] 12_000_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/70 (s=0.965 g=0.146) | OK
[ 177/ 294] 12_000_70_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=000/70 (s=0.885 g=0.058) | OK
[ 178/ 294] 12_045_10_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/10 (s=0.940 g=0.442) | OK
[ 179/ 294] 12_045_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/10 (s=0.873 g=0.310) | OK
[ 180/ 294] 12_045_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/10 (s=0.852 g=0.399) | OK
[ 181/ 294] 12_045_10_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/10 (s=0.933 g=0.451) | OK
[ 182/ 294] 12_045_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/10 (s=0.875 g=0.418) | OK
[ 183/ 294] 12_045_10_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/10 (s=0.928 g=0.449) | OK
[ 184/ 294] 12_045_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/40 (s=0.992 g=0.177) | OK
[ 185/ 294] 12_045_40_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/40 (s=0.988 g=0.163) | OK
[ 186/ 294] 12_045_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/40 (s=0.978 g=0.164) | OK
[ 187/ 294] 12_045_40_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/40 (s=0.981 g=0.132) | OK
[ 188/ 294] 12_045_40_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/40 (s=0.982 g=0.162) | OK
[ 189/ 294] 12_045_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/70 (s=0.987 g=0.152) | OK
[ 190/ 294] 12_045_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/70 (s=0.990 g=0.156) | OK
[ 191/ 294] 12_045_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/70 (s=0.980 g=0.141) | OK
[ 192/ 294] 12_045_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/70 (s=0.970 g=0.164) | OK
[ 193/ 294] 12_045_70_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=045/70 (s=0.943 g=0.119) | OK
[ 194/ 294] 12_090_10_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/10 (s=0.861 g=0.229) | OK
[ 195/ 294] 12_090_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/10 (s=0.931 g=0.309) | OK
[ 196/ 294] 12_090_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/10 (s=0.820 g=0.192) | OK
[ 197/ 294] 12_090_10_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/10 (s=0.974 g=0.376) | OK
[ 198/ 294] 12_090_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/10 (s=0.965 g=0.369) | OK
[ 199/ 294] 12_090_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/40 (s=0.994 g=0.236) | OK
[ 200/ 294] 12_090_40_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/40 (s=0.976 g=0.176) | OK
[ 201/ 294] 12_090_40_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/40 (s=0.968 g=0.248) | OK
[ 202/ 294] 12_090_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/40 (s=0.995 g=0.232) | OK
[ 203/ 294] 12_090_40_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/40 (s=0.977 g=0.255) | OK
[ 204/ 294] 12_090_40_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/40 (s=0.968 g=0.190) | OK
[ 205/ 294] 12_090_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/70 (s=0.994 g=0.234) | OK
[ 206/ 294] 12_090_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/70 (s=0.995 g=0.234) | OK
[ 207/ 294] 12_090_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/70 (s=0.994 g=0.232) | OK
[ 208/ 294] 12_090_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/70 (s=0.982 g=0.215) | OK
[ 209/ 294] 12_090_70_005.jpg | REAL=12 | PRED_BASE=09 | PRED_FINAL=12 | REF=9-12 | ORI=090/70 (s=0.959 g=0.198) | OK
[ 210/ 294] 12_090_70_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=090/70 (s=0.986 g=0.237) | OK
[ 211/ 294] 12_135_10_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/10 (s=0.986 g=0.135) | OK
[ 212/ 294] 12_135_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/10 (s=0.989 g=0.133) | OK
[ 213/ 294] 12_135_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/10 (s=0.992 g=0.147) | OK
[ 214/ 294] 12_135_10_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/10 (s=0.940 g=0.100) | OK
[ 215/ 294] 12_135_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/10 (s=0.990 g=0.140) | OK
[ 216/ 294] 12_135_10_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/10 (s=0.990 g=0.140) | OK
[ 217/ 294] 12_135_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/40 (s=0.993 g=0.143) | OK
[ 218/ 294] 12_135_40_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/40 (s=0.994 g=0.134) | OK
[ 219/ 294] 12_135_40_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/40 (s=0.981 g=0.147) | OK
[ 220/ 294] 12_135_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/40 (s=0.976 g=0.152) | OK
[ 221/ 294] 12_135_40_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/40 (s=0.990 g=0.132) | OK
[ 222/ 294] 12_135_40_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/40 (s=0.977 g=0.152) | OK
[ 223/ 294] 12_135_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/70 (s=0.981 g=0.255) | OK
[ 224/ 294] 12_135_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/70 (s=0.980 g=0.249) | OK
[ 225/ 294] 12_135_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/70 (s=0.985 g=0.248) | OK
[ 226/ 294] 12_135_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/70 (s=0.979 g=0.226) | OK
[ 227/ 294] 12_135_70_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=135/70 (s=0.971 g=0.241) | OK
[ 228/ 294] 12_180_10_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/10 (s=0.992 g=0.319) | OK
[ 229/ 294] 12_180_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/10 (s=0.978 g=0.297) | OK
[ 230/ 294] 12_180_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/10 (s=0.990 g=0.306) | OK
[ 231/ 294] 12_180_10_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/10 (s=0.981 g=0.316) | OK
[ 232/ 294] 12_180_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/10 (s=0.983 g=0.308) | OK
[ 233/ 294] 12_180_10_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/10 (s=0.980 g=0.300) | OK
[ 234/ 294] 12_180_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/40 (s=0.987 g=0.241) | OK
[ 235/ 294] 12_180_40_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/40 (s=0.973 g=0.245) | OK
[ 236/ 294] 12_180_40_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/40 (s=0.989 g=0.227) | OK
[ 237/ 294] 12_180_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/40 (s=0.971 g=0.236) | OK
[ 238/ 294] 12_180_40_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/40 (s=0.955 g=0.251) | OK
[ 239/ 294] 12_180_40_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/40 (s=0.991 g=0.251) | OK
[ 240/ 294] 12_180_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/70 (s=0.997 g=0.237) | OK
[ 241/ 294] 12_180_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/70 (s=0.997 g=0.245) | OK
[ 242/ 294] 12_180_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/70 (s=0.993 g=0.232) | OK
[ 243/ 294] 12_180_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=180/70 (s=0.924 g=0.092) | OK
[ 244/ 294] 12_225_10_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/10 (s=0.940 g=0.560) | OK
[ 245/ 294] 12_225_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/10 (s=0.791 g=0.345) | OK
[ 246/ 294] 12_225_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/10 (s=0.956 g=0.570) | OK
[ 247/ 294] 12_225_10_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/10 (s=0.943 g=0.526) | OK
[ 248/ 294] 12_225_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/10 (s=0.939 g=0.548) | OK
[ 249/ 294] 12_225_10_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/10 (s=0.850 g=0.403) | OK
[ 250/ 294] 12_225_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/40 (s=0.987 g=0.126) | OK
[ 251/ 294] 12_225_40_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/40 (s=0.984 g=0.125) | OK
[ 252/ 294] 12_225_40_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/40 (s=0.941 g=0.120) | OK
[ 253/ 294] 12_225_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/40 (s=0.981 g=0.172) | OK
[ 254/ 294] 12_225_40_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/40 (s=0.978 g=0.161) | OK
[ 255/ 294] 12_225_40_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/40 (s=0.946 g=0.127) | OK
[ 256/ 294] 12_225_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/70 (s=0.993 g=0.149) | OK
[ 257/ 294] 12_225_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/70 (s=0.974 g=0.131) | OK
[ 258/ 294] 12_225_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/70 (s=0.997 g=0.152) | OK
[ 259/ 294] 12_225_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/70 (s=0.989 g=0.145) | OK
[ 260/ 294] 12_225_70_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=225/70 (s=0.945 g=0.088) | OK
[ 261/ 294] 12_270_10_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/10 (s=0.927 g=0.344) | OK
[ 262/ 294] 12_270_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/10 (s=0.963 g=0.361) | OK
[ 263/ 294] 12_270_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/10 (s=0.955 g=0.353) | OK
[ 264/ 294] 12_270_10_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/10 (s=0.977 g=0.365) | OK
[ 265/ 294] 12_270_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/10 (s=0.943 g=0.280) | OK
[ 266/ 294] 12_270_10_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/10 (s=0.980 g=0.362) | OK
[ 267/ 294] 12_270_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/40 (s=0.985 g=0.177) | OK
[ 268/ 294] 12_270_40_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/40 (s=0.982 g=0.197) | OK
[ 269/ 294] 12_270_40_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/40 (s=0.962 g=0.122) | OK
[ 270/ 294] 12_270_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/40 (s=0.968 g=0.154) | OK
[ 271/ 294] 12_270_40_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/40 (s=0.952 g=0.122) | OK
[ 272/ 294] 12_270_40_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/40 (s=0.991 g=0.195) | OK
[ 273/ 294] 12_270_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/70 (s=0.980 g=0.171) | OK
[ 274/ 294] 12_270_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/70 (s=0.955 g=0.140) | OK
[ 275/ 294] 12_270_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/70 (s=0.986 g=0.173) | OK
[ 276/ 294] 12_270_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/70 (s=0.988 g=0.184) | OK
[ 277/ 294] 12_270_70_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=270/70 (s=0.994 g=0.189) | OK
[ 278/ 294] 12_315_10_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/10 (s=0.968 g=0.235) | OK
[ 279/ 294] 12_315_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/10 (s=0.933 g=0.232) | OK
[ 280/ 294] 12_315_10_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/10 (s=0.986 g=0.283) | OK
[ 281/ 294] 12_315_10_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/10 (s=0.992 g=0.275) | OK
[ 282/ 294] 12_315_10_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/10 (s=0.984 g=0.290) | OK
[ 283/ 294] 12_315_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/40 (s=0.995 g=0.174) | OK
[ 284/ 294] 12_315_40_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/40 (s=0.974 g=0.138) | OK
[ 285/ 294] 12_315_40_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/40 (s=0.986 g=0.165) | OK
[ 286/ 294] 12_315_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/40 (s=0.995 g=0.177) | OK
[ 287/ 294] 12_315_40_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/40 (s=0.983 g=0.160) | OK
[ 288/ 294] 12_315_40_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/40 (s=0.992 g=0.162) | OK
[ 289/ 294] 12_315_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/70 (s=0.992 g=0.182) | OK
[ 290/ 294] 12_315_70_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/70 (s=0.995 g=0.176) | OK
[ 291/ 294] 12_315_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/70 (s=0.996 g=0.175) | OK
[ 292/ 294] 12_315_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/70 (s=0.991 g=0.164) | OK
[ 293/ 294] 12_315_70_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/70 (s=0.981 g=0.172) | OK
[ 294/ 294] 12_315_70_006.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | ORI=315/70 (s=0.975 g=0.146) | OK


RESUMEN
------
Total imágenes carpeta     : 294
Imágenes no encontradas    : 0
Imágenes sin GT en nombre  : 0
Evaluadas (con GT)         : 294
Aciertos                   : 294
Fallos                     : 0
Accuracy (solo con GT)     : 100.00 %

USO REFINADOR 9-12
-----------------
Ref 9-12 usado            : 294
Cambios BASE->FINAL (flip): 1


LISTA DE FALLOS (si los hay)
----------------------------
Ninguno.


LISTA DE CAMBIOS (BASE -> FINAL)
--------------------------------
12_090_70_005.jpg | REAL=12 | BASE=09 -> FINAL=12 | REF=9-12
