EVALUACIÓN COMPLETA SOBRE T_test (CASCADA: COLOR->FORMA)
=======================================================

Carpeta imágenes: C:\Users\jlaco\OneDrive\Escritorio\1\Procesado de Señales Multimedia\Proyecto\ProyectoPSM\Database\SEGMENTED_local

[   1/ 335] 10_135_70_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 228/ 335] 09_090_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 229/ 335] 04_180_40_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 230/ 335] 04_045_90_003.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 231/ 335] 03_090_40_002.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 232/ 335] 03_180_70_005.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 233/ 335] 06_045_10_004.jpg | REAL=06 | PRED_BASE=03 | PRED_FINAL=06 | REF=3-6 | OK
[ 234/ 335] 08_225_90_003.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 235/ 335] 09_270_90_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 236/ 335] 05_000_40_004.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 237/ 335] 07_135_40_004.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 238/ 335] 07_315_70_001.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 239/ 335] 02_045_10_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 240/ 335] 11_180_10_003.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 241/ 335] 12_180_70_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 242/ 335] 08_000_40_004.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 243/ 335] 12_180_70_003.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 244/ 335] 07_270_90_002.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 245/ 335] 04_045_40_002.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 246/ 335] 12_090_40_001.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 247/ 335] 09_000_70_003.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 248/ 335] 01_045_70_003.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 249/ 335] 06_135_70_004.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 250/ 335] 06_315_90_001.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 251/ 335] 05_315_70_003.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 252/ 335] 02_180_10_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 253/ 335] 04_000_70_001.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 254/ 335] 08_135_10_005.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 255/ 335] 01_180_70_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 256/ 335] 07_135_10_001.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 257/ 335] 08_045_10_005.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 258/ 335] 02_225_10_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 259/ 335] 10_180_70_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 260/ 335] 08_270_90_003.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 261/ 335] 08_315_40_005.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 262/ 335] 11_315_10_003.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 263/ 335] 09_225_40_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 264/ 335] 07_315_40_002.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 265/ 335] 09_090_40_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 266/ 335] 10_315_70_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 267/ 335] 11_270_90_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 268/ 335] 07_000_10_002.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 269/ 335] 11_225_40_003.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 270/ 335] 02_180_70_002.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 271/ 335] 07_090_90_004.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 272/ 335] 04_135_90_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 273/ 335] 07_270_90_001.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 274/ 335] 11_180_10_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 275/ 335] 09_270_40_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 276/ 335] 04_045_40_001.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 277/ 335] 07_270_40_003.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 278/ 335] 09_135_70_001.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 279/ 335] 05_000_90_001.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 280/ 335] 10_315_90_005.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 281/ 335] 02_045_90_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 282/ 335] 01_270_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 283/ 335] 11_225_10_006.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 284/ 335] 02_180_40_004.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 285/ 335] 05_180_70_001.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 286/ 335] 10_045_40_004.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 287/ 335] 07_180_90_005.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 288/ 335] 02_225_40_005.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 289/ 335] 06_135_90_005.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 290/ 335] 04_045_90_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 291/ 335] 03_270_90_002.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 292/ 335] 07_135_70_003.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 293/ 335] 03_270_70_005.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 294/ 335] 10_135_70_002.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 295/ 335] 11_225_10_005.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 296/ 335] 12_045_70_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 297/ 335] 12_045_10_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 298/ 335] 12_135_70_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 299/ 335] 12_045_40_004.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 300/ 335] 10_090_90_002.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 301/ 335] 09_045_10_002.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 302/ 335] 06_270_70_001.jpg | REAL=06 | PRED_BASE=06 | PRED_FINAL=06 | REF=3-6 | OK
[ 303/ 335] 11_180_40_001.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 304/ 335] 11_315_10_006.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 305/ 335] 04_135_90_002.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 306/ 335] 02_270_40_003.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 307/ 335] 03_225_70_001.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 308/ 335] 04_135_70_005.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 309/ 335] 01_135_10_004.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 310/ 335] 11_045_90_001.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 311/ 335] 02_180_90_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 312/ 335] 11_225_70_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 313/ 335] 09_270_90_005.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 314/ 335] 10_270_40_001.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 315/ 335] 10_000_40_002.jpg | REAL=10 | PRED_BASE=10 | PRED_FINAL=10 | REF=none | OK
[ 316/ 335] 03_225_10_002.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 317/ 335] 09_135_70_004.jpg | REAL=09 | PRED_BASE=09 | PRED_FINAL=09 | REF=9-12 | OK
[ 318/ 335] 03_000_10_004.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 319/ 335] 04_270_10_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 320/ 335] 07_090_90_003.jpg | REAL=07 | PRED_BASE=07 | PRED_FINAL=07 | REF=none | OK
[ 321/ 335] 08_135_10_004.jpg | REAL=08 | PRED_BASE=08 | PRED_FINAL=08 | REF=none | OK
[ 322/ 335] 04_225_90_004.jpg | REAL=04 | PRED_BASE=04 | PRED_FINAL=04 | REF=none | OK
[ 323/ 335] 05_000_90_002.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 324/ 335] 12_135_40_002.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 325/ 335] 01_090_90_002.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 326/ 335] 05_000_40_003.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 327/ 335] 11_315_70_002.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 328/ 335] 05_225_90_002.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 329/ 335] 03_045_90_005.jpg | REAL=03 | PRED_BASE=03 | PRED_FINAL=03 | REF=3-6 | OK
[ 330/ 335] 02_045_70_001.jpg | REAL=02 | PRED_BASE=02 | PRED_FINAL=02 | REF=none | OK
[ 331/ 335] 01_225_40_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK
[ 332/ 335] 11_315_70_004.jpg | REAL=11 | PRED_BASE=11 | PRED_FINAL=11 | REF=none | OK
[ 333/ 335] 12_000_70_005.jpg | REAL=12 | PRED_BASE=12 | PRED_FINAL=12 | REF=9-12 | OK
[ 334/ 335] 05_180_70_004.jpg | REAL=05 | PRED_BASE=05 | PRED_FINAL=05 | REF=none | OK
[ 335/ 335] 01_270_10_005.jpg | REAL=01 | PRED_BASE=01 | PRED_FINAL=01 | REF=none | OK


RESUMEN
------
Total filas T_test        : 335
Imágenes no encontradas   : 0
Evaluadas (con archivo)   : 335
Aciertos                  : 335
Fallos                    : 0
Accuracy (sin missing)    : 100.00 %

USO DE REFINADORES
-----------------
Ref 3-6  usado: 48 | cambió decisión base: 4
Ref 9-12 usado: 39 | cambió decisión base: 0


LISTA DE FALLOS (si los hay)
----------------------------
Ninguno.


LISTA DE CAMBIOS (BASE -> FINAL)
--------------------------------
03_180_70_004.jpg | REAL=03 | BASE=06 -> FINAL=03 | REF=3-6 | OK
06_090_10_005.jpg | REAL=06 | BASE=03 -> FINAL=06 | REF=3-6 | OK
03_225_70_005.jpg | REAL=03 | BASE=06 -> FINAL=03 | REF=3-6 | OK
06_045_10_004.jpg | REAL=06 | BASE=03 -> FINAL=06 | REF=3-6 | OK
